date,user,coordinates,text,place,bounding_box
Thu Jul 15 13:45:09 +0000 2021,Lulabogale,no coordinates,@NationBreaking Well come. I can’t wait to subscribe 🤞,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 13:46:40 +0000 2021,WalleMetages,no coordinates,Done https://t.co/xpWldXzl5p,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:04:33 +0000 2021,Dawit7411,no coordinates,@lidyabekele3 The conversation is on another level....አስጎምዢ 😁😁,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:06:13 +0000 2021,fuqioda,no coordinates,Dr Peter McCullough pulls no punches  COVID-19 vaccines coded for the “ first “Virus strain of Dec2019 -Jan 2020 … https://t.co/kgZXq6KbgP,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:06:44 +0000 2021,HilenaTafesse,no coordinates,I’m in love with Genet hotel - vintage bowling ❤️So pretty https://t.co/AWUAg8yTJO,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:07:42 +0000 2021,Lulabogale,no coordinates,@DrMo_Abdallah Who’s water was there before?,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:09:01 +0000 2021,abba_nafsoo,no coordinates,#ChildrenNotSoldiersየኛ ነፃ አውጪ ይሄ ነው ጀግንነቱ አረ ህዝቤ አለቀ ወገን አረ ጦርነት ይብቃን እንበልፀደይ ያንቺ ነፃ አውጪ ህዝቤን እየበላ ነውያንቺ ጀግና… https://t.co/VcHDzd0Rjr,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:13:09 +0000 2021,Lulabogale,no coordinates,@DrMo_Abdallah Please contribute a drop of water &amp; your complain will going to be consider. Kindly don’t make a fu**kn noise👊,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:14:10 +0000 2021,Lulabogale,no coordinates,@DrMo_Abdallah What to do ? This is Ethiopia not Palestine.,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:14:10 +0000 2021,BiruhG,no coordinates,The current state of #EthioAmerican relations: Cold gloomy and about to fall apart. (took the pic while passing b… https://t.co/yzdDZK8tGA,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:16:08 +0000 2021,WondimagegnAle5,no coordinates,Mr Blinken  where are you at this time ? I think you are almata or korem in tigray region . https://t.co/y9ZzwoyfKo,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:17:42 +0000 2021,sercinyus,no coordinates,AhazcavzfBsfJzhak Uçuyosuuuuun baaaak gittiiiin. Amerika'dasıııın ✈,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:17:59 +0000 2021,AyanaAyinalem,no coordinates,TPLF is aTerrorist Group has been recruiting child soldiers as cannon fodders when attacking &amp;massacring#Amhara.It… https://t.co/drBi0cvSOR,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:24:57 +0000 2021,HilenaTafesse,no coordinates,A good dentist you recommend Esti,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:27:57 +0000 2021,LachisaE,no coordinates,#TPLFisaTerroristGroup is not fighting the war it's using civilians as a human shield! The international community… https://t.co/waNIl9s5uN,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:28:22 +0000 2021,sheqaaaf,no coordinates,this really is the ghetto uno,Sudan,[[[21.814951 8.632368] [21.814951 22.000257] [38.926758 22.000257] [38.926758 8.632368]]]
