Latitude,Longitude,Date,Text,Person,Original BBX,location,BBX method flag
38.780604,9.017265,Thu Jul 15 17:00:36 +0000 2021,Amharas are under existential threat as #TPLFisaTerroristGroup continues its expansionist &amp; genocidal war against e… https://t.co/FtYp7cmujI,Mekuria7,38.780604 9.017265] [38.780604 9.017265] [38.780604 9.017265] [38.780604 9.017265,New Hankuk,True
38.849151,9.033474,Thu Jul 15 17:13:19 +0000 2021,https://t.co/wFI4LzIVmn,KuethPele,38.849151 9.033474] [38.849151 9.033474] [38.849151 9.033474] [38.849151 9.033474,Ethiopian Airlines,True
38.763427,9.032626,Thu Jul 15 19:30:37 +0000 2021,Talking To The Moon def ruined it but hey it's just for fun 😂😂#GALAXY #Musica #cover #SONG #Singing https://t.co/hfe4KYlp7k,yareddoe,38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626,Arat kilo,True
38.687083,9.005566,Thu Jul 15 20:02:32 +0000 2021,This is simply an act of terror #condemnTPLF #actofevil #warcrime #savethechildren @UN @EU_Commission… https://t.co/gQW5oUXEPK,AbenezerGeberie,38.687083 9.005566] [38.687083 9.005566] [38.687083 9.005566] [38.687083 9.005566,Morning Coffee Guesthouse,True
38.777748,8.981451,Fri Jul 16 02:02:58 +0000 2021,https://t.co/5Shrjs1Gqd,Kidist53850852,38.777748 8.981451] [38.777748 8.981451] [38.777748 8.981451] [38.777748 8.981451,Ethiopian Airlines Bole Haile-Alem Branch,True
38.73694444,9.02722222,Fri Jul 16 04:31:25 +0000 2021,Just posted a photo @ Addis Ababa https://t.co/8IamQKS8Uy,Brookyirga,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.796152,8.983055,Fri Jul 16 05:08:52 +0000 2021,J'ai cru que j'avais perdu la carte d'embarquement de ma soeur💀,Lyaa931,38.796152 8.983055] [38.796152 8.983055] [38.796152 8.983055] [38.796152 8.983055,Addis Ababa Bole International Airport,True
38.7653,8.995,Fri Jul 16 06:04:59 +0000 2021,#God#Love#Dreams🙏🏽 @ Addis Ababa Ethiopia https://t.co/KA371I7ha9,YafHen,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.74716,9.012377,Fri Jul 16 10:30:25 +0000 2021,Addis busy in the cold rainy day.'This is the Wabe Shebele Hotel ' who remembers this statement from ETV?#Coffee… https://t.co/OclNxIhVol,welowithcoffee,38.74716 9.012377] [38.74716 9.012377] [38.74716 9.012377] [38.74716 9.012377,Wab Shebelle,True
38.749062,9.020235,Fri Jul 16 14:25:41 +0000 2021,@Seliselina35 @sanusi90064 @martinplaut #ChildrenNotSoldiers   #TPLFisaTerroristGroup https://t.co/Z707iLg5G8,MulatuAbyot,38.749062 9.020235] [38.749062 9.020235] [38.749062 9.020235] [38.749062 9.020235,Black Lion Hospital,True
38.758923,8.924754,Fri Jul 16 17:19:10 +0000 2021,@Getachew_K_Reda ሀሀሀእስኪ የተባበሩት ጀዝባ ግሩፕ(መጀንግ) ነኝ በል ሀሀሀ ዥልጥ ቦቅቧቃ ቅማላም አንበጣ ቆርጣሚ እከካም ሙርሽታም ጥንብ ሴሰኛ አንተን ብሎ አማራን ተናጋሪ… https://t.co/3jDOZhAoyn,Yohanne95847788,38.758923 8.924754] [38.758923 8.924754] [38.758923 8.924754] [38.758923 8.924754,Textile Industry Development Institute,True
