Latitude,Longitude,text,person
 8.995,38.7653,"Just posted a photo @ Addis Ababa, Ethiopia https://t.co/qCtJDms7GC",Aurangzeb Khan
 9.023067,38.763582,Just posted a video @ Unity Park -Addis Ababa Ethiopia https://t.co/fMSRX8gJdf,Aurangzeb Khan
 9.023067,38.763582,Just posted a video @ Unity Park -Addis Ababa Ethiopia https://t.co/IvLHAVA0DY,Aurangzeb Khan
 9.023067,38.763582,Just posted a photo @ Unity Park -Addis Ababa Ethiopia https://t.co/JjVDfMWKmV,Aurangzeb Khan
 8.9848225,38.7566052,Amazing place full of history. @ Ethiopian National Palace https://t.co/qWdv2Co2Vq,Aurangzeb Khan
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/7ROnaehtdB,Aurangzeb Khan
 8.995,38.7653,"السياسة الخارجية الاميركية ثابت لو #فاز_ترامب_دين_او_جاقو_بايدين 👌 عشان كدا نحن المساكين التراب في خشمنا 😂😂 #كبشرة @ Addis Ababa, Ethiopia https://t.co/O3cyE5c6j6",Gadet C Reik 🇪🇹🇸🇩🇸🇸
 8.995,38.7653,"☆ نعم ، نحن طيبون لأننا أنقياء ولسنا أغبياء .. 👌🏽 #كبشرة @ Addis Ababa, Ethiopia https://t.co/OYRNUe4pks",Gadet C Reik 🇪🇹🇸🇩🇸🇸
 8.995,38.7653,"أكبر خطأ ارتكبته في حياتي، هو اعتقادي أن الأشخاص سيمنحون لي نفس الحب الذي منحته لهم   🤔 #كبشرة @ Addis Ababa, Ethiopia https://t.co/bYVY9w2rUC",Gadet C Reik 🇪🇹🇸🇩🇸🇸
 8.995,38.7653,"التواصل الإجتماعي اكبر قناع للحياة ! 
 لدرجة تلقى اخوك كاتب "" انفاسي بدأت تخنقني !"" وهو قاعد جنبك يشرب جنزبيل 😂😜 #كبشرة @ Addis Ababa, Ethiopia https://t.co/2JWsVb3KIv",Gadet C Reik 🇪🇹🇸🇩🇸🇸
 8.995,38.7653,"إن لم تستطع التخلص من الاشياء العالقة في رأسك، تخلّص من رأسك 🍺 #كبشرة @ Addis Ababa, Ethiopia https://t.co/ThAHrMNoxj",Gadet C Reik 🇪🇹🇸🇩🇸🇸
