Latitude,Longitude,text,person
34.59040114, 8.25559045,Nature at its best. @ Addis Ababa https://t.co/SZ2DFGi4hc,Aurangzeb Khan
38.7653, 8.995,"Just posted a photo @ Addis Ababa, Ethiopia https://t.co/qCtJDms7GC",Aurangzeb Khan
38.763582, 9.023067,Just posted a video @ Unity Park -Addis Ababa Ethiopia https://t.co/fMSRX8gJdf,Aurangzeb Khan
38.763582, 9.023067,Just posted a video @ Unity Park -Addis Ababa Ethiopia https://t.co/IvLHAVA0DY,Aurangzeb Khan
38.763582, 9.023067,Just posted a photo @ Unity Park -Addis Ababa Ethiopia https://t.co/JjVDfMWKmV,Aurangzeb Khan
38.7566052, 8.9848225,Amazing place full of history. @ Ethiopian National Palace https://t.co/qWdv2Co2Vq,Aurangzeb Khan
38.73694444, 9.02722222,Just posted a photo @ Addis Ababa https://t.co/7ROnaehtdB,Aurangzeb Khan
68.8300737, 27.7249913,At river Indus bank having diner at  Sajjad hotel khairpur sindh Pakistan. https://t.co/OSWTzC7hZo,Aurangzeb Khan
68.8441951, 27.7300892,"Wondrful momnts recivng ops certfct from my worthy sir Shujaat sb.
#Ops mngmnt, #IBA Sukkur, #CBL2016, #CBL, #LU. https://t.co/Yn6jT2YH6Y",Aurangzeb Khan
38.7653, 8.995,"السياسة الخارجية الاميركية ثابت لو #فاز_ترامب_دين_او_جاقو_بايدين 👌 عشان كدا نحن المساكين التراب في خشمنا 😂😂 #كبشرة @ Addis Ababa, Ethiopia https://t.co/O3cyE5c6j6",Gadet C Reik 🇪🇹🇸🇩🇸🇸
38.7653, 8.995,"☆ نعم ، نحن طيبون لأننا أنقياء ولسنا أغبياء .. 👌🏽 #كبشرة @ Addis Ababa, Ethiopia https://t.co/OYRNUe4pks",Gadet C Reik 🇪🇹🇸🇩🇸🇸
38.7653, 8.995,"أكبر خطأ ارتكبته في حياتي، هو اعتقادي أن الأشخاص سيمنحون لي نفس الحب الذي منحته لهم   🤔 #كبشرة @ Addis Ababa, Ethiopia https://t.co/bYVY9w2rUC",Gadet C Reik 🇪🇹🇸🇩🇸🇸
38.7653, 8.995,"التواصل الإجتماعي اكبر قناع للحياة ! 
 لدرجة تلقى اخوك كاتب "" انفاسي بدأت تخنقني !"" وهو قاعد جنبك يشرب جنزبيل 😂😜 #كبشرة @ Addis Ababa, Ethiopia https://t.co/2JWsVb3KIv",Gadet C Reik 🇪🇹🇸🇩🇸🇸
38.7653, 8.995,"إن لم تستطع التخلص من الاشياء العالقة في رأسك، تخلّص من رأسك 🍺 #كبشرة @ Addis Ababa, Ethiopia https://t.co/ThAHrMNoxj",Gadet C Reik 🇪🇹🇸🇩🇸🇸
38.7653, 8.995,"أڪبر إنجاز ممڪن تحققه لايام دا  : إنك تفرق بين الذڪر و الانثى ! كعععع 👊🏼😂 الشاي دا فيها حاجة ما طبيعية 😜🚬 #كبشرة @ Addis Ababa, Ethiopia https://t.co/nzuPlCGzjo",Gadet C Reik 🇪🇹🇸🇩🇸🇸
38.7653, 8.995,"بتفهم بوين انت ؟  🤔 الجملة دا بالزات  مستحيل يجي بعدها رد مؤدب مني خالص 🙂🌚 #كبشرة @ Addis Ababa, Ethiopia https://t.co/sNwkD8Jbj4",Gadet C Reik 🇪🇹🇸🇩🇸🇸
38.7653, 8.995,"مازلت الشخص الوحيد التي لفتت أنتباه قلبي 💝 #كبشرة @ Addis Ababa, Ethiopia https://t.co/gqsiJTsCn9",Gadet C Reik 🇪🇹🇸🇩🇸🇸
38.7653, 8.995,"الحـرام قبـل العيـب و ربـك قبـل النـاس.. 👌🏽 #كبشرة @ Addis Ababa, Ethiopia https://t.co/WtA8rvb0xv",Gadet C Reik 🇪🇹🇸🇩🇸🇸
38.7653, 8.995,"35 🥰 #كبشرة @ Addis Ababa, Ethiopia https://t.co/XAcOdDkabw",Gadet C Reik 🇪🇹🇸🇩🇸🇸
38.7653, 8.995,"شكل الشارع امس من غير الناس اللي ماشين صلاة العيد او صلاة الاحد مُحزن جداً #كبشرة @ Addis Ababa, Ethiopia https://t.co/pAPPLqRpg8",Gadet C Reik 🇪🇹🇸🇩🇸🇸
38.7653, 8.995,"تمسك بحلمك حتى في أصعب  الظروف 👌🏽 #كبشرة @ Addis Ababa, Ethiopia https://t.co/wkMcGlxAn5",Gadet C Reik 🇪🇹🇸🇩🇸🇸
31.65, 9.5333,اطمئن؛ لم يخلق الله الحزن إلا ومعه مساحة من الفرح { إن بعد العسر يسرا }♥️ هذا ما تبقي من منزلنا في ملكال فقط الشجرة 🤔🤔  #كبشرة @ Malakal https://t.co/OrTeo7GpuC,Gadet C Reik 🇪🇹🇸🇩🇸🇸
38.7653, 8.995,"ويالتني كنت كل الناظرين اليك ‼️Happy Mother’s Day To You MAMA Nyapal 🙏🏾👌🏽#كبشرة @ Addis Ababa, Ethiopia https://t.co/tZOtJrB8ri",Gadet C Reik 🇪🇹🇸🇩🇸🇸
38.7653, 8.995,"Rest in peace legend 🙏🏾 @ Addis Ababa, Ethiopia https://t.co/b840YYwgzk",Gadet C Reik 🇪🇹🇸🇩🇸🇸
31.61135004, 4.85199219,أحياناً يكون أقوى إنجازاتك في الحياة هو أنك مازلت بقواك العقلية،ومازلت تتعامل بأخلاق،مع أنك محاط بكمية لا تحصى من السفهاء 👌🏻😎 #كبشرة @ South Sudan - Juba https://t.co/oyZJA7lXwz,Gadet C Reik 🇪🇹🇸🇩🇸🇸
31.5819, 4.8497,"تركت الأشياء من بين يدي ووضعتها بين يديّك يارب، لأني عارف  أن كل ماهو معك ومنك يكون أجمل وأفضل: فيارب جمل كل ماوكلتك له #ربنا_يشفيك_صغيرتي_ويحميك 🙏🙏 #كبشرة @ Juba, Sudan https://t.co/3Dk5P8sPt5",Gadet C Reik 🇪🇹🇸🇩🇸🇸
31.65, 9.5333,الكلمات مهما بلغت لايمكن لها ان تصف جمال الطبيعة لذلك وجدت الكاميرات 🏞 #كبشرة @ Malakal https://t.co/0TzJB5Y5zE,Gadet C Reik 🇪🇹🇸🇩🇸🇸
31.61135004, 4.85199219,تبعا حسب السطلة دا جو شراب لبن الأم بي زلابية التمبلولولولولولولو كعععع😂😂😂  #كبشرة @ South Sudan - Juba https://t.co/XTMS0HikaE,Gadet C Reik 🇪🇹🇸🇩🇸🇸
31.5819, 4.8497,"بعد ما قمنا بالأخضر و اليابس مع اصحاب آل ج١ و حم ٢ 

تشحيمة : 
يا ابو عبدالله قلت لي ح تصوم العشرة الأخيرة 😂😂 #كبشرة @ Juba, Sudan https://t.co/xZ6T0XxSny",Gadet C Reik 🇪🇹🇸🇩🇸🇸
31.65, 9.5333,علي ضفاف نهر السوباط الخالد مناطق سطرت تاريخ ولاية أعالي النيل بروع و جمال إنسانه هنا في منطقة #باليت تجدهم يتحدثون كل لغات إنسان أعالي النيل ليمثل النيل الرابط الأزلي لانسان هذا البقع… https://t.co/Kh3HgVBDVa,Gadet C Reik 🇪🇹🇸🇩🇸🇸
31.65, 9.5333,انها الغروب في عروس النيل #ملكال جمال الطبيعة تحكي روعة بلدي 👌🏾👌🏾 #كبشرة @ Malakal https://t.co/iSMCjvGuA2,Gadet C Reik 🇪🇹🇸🇩🇸🇸
33.06162, 11.31408,Back to Renk ✌🏽👌🏾 #كبشرة @ Renk County https://t.co/IubQXpdeJl,Gadet C Reik 🇪🇹🇸🇩🇸🇸
33.06162, 11.31408,#قهوة_المساء☕️ في سوق الكبير #الرنك_البرييك 👌🏾😂 #كبشرة @ Renk County https://t.co/oVEoB8ON4K,Gadet C Reik 🇪🇹🇸🇩🇸🇸
31.54916667, 9.36722222,#هنا_نهر_السوباط_الخالد ❤️😘 جمالك يا وطن فوق الخيال 💕❤️ #كبشرة @ Sobat River https://t.co/yhQipkBLT1,Gadet C Reik 🇪🇹🇸🇩🇸🇸
11.50877075, 3.89494009,"This babyface though ♠️
One day I will share a picture of me at 3 smiling just like this
Thank God for this beauty 🖤

#2020 #bw #blackandwhite #iloveblackandwhitephotos #selfcare #selflove #braids #smiletolife… https://t.co/B10R2T7jwj",JOOOOO ❤️🔥😌🇨🇲
11.5179, 3.8598,"When you wake up in the morning and don’t know know what to do with your hair... I think I like how it finally came out 
What do you think? 

#hair #hairstyles #lowbun #relaxedhair #cheveux #cheveuxlongs… https://t.co/zkbWC9IBLT",JOOOOO ❤️🔥😌🇨🇲
11.5179, 3.8598,"Hellooo

La team Facebook et la Team instastory sait qu’un challenge #Volume et #Pousse débute demain pour une durée de 3 mois !
Si tu arrives  à l’instant et souhaites participer les règles sont dans le #Highlight… https://t.co/pd1OWjkJ6M",JOOOOO ❤️🔥😌🇨🇲
11.51889774, 3.87136447,I'm at La Plaza in Yaundé https://t.co/1ssxfyBNZm https://t.co/JJBr7NBHO8,JOOOOO ❤️🔥😌🇨🇲
11.508265, 3.893839,I'm at Beautés du Monde https://t.co/aIVe7QVO75,JOOOOO ❤️🔥😌🇨🇲
11.532188, 3.872204,"I'm at United Express in Yaoundé, Région du Centre https://t.co/KqKA5NY5Au",JOOOOO ❤️🔥😌🇨🇲
11.4880406, 3.87997303,"I'm at Flamenco, Madagascar https://t.co/woaFO9uioM",JOOOOO ❤️🔥😌🇨🇲
11.50265278, 3.88733905,"I'm at Tchop n Yamo in Yaounde, cameroun https://t.co/Kz1vV7OOT2",JOOOOO ❤️🔥😌🇨🇲
11.51128084, 3.8923529,I'm at Black and white in Yaounde https://t.co/FWWWzM5hNn,JOOOOO ❤️🔥😌🇨🇲
11.51610012, 3.88784085,I'm at Casino Supermaché Bastos in Yaoundé https://t.co/dURc6MZunL,JOOOOO ❤️🔥😌🇨🇲
11.5156145, 3.8656332,"I'm at Mtn Contact Centre - @mtn_care in Yaoundé, Région du Centre https://t.co/oAop1wwT5d",JOOOOO ❤️🔥😌🇨🇲
11.5156145, 3.8656332,"I'm at Mtn Contact Centre - @mtn_care in Yaoundé, Région du Centre https://t.co/OtRN6bvHEu",JOOOOO ❤️🔥😌🇨🇲
2.40115781, 6.34810516,"Que faites vous ce samedi soir? 

#beach #plage #benin #beininvie #cotonou #vacation #vacay #vacances #ankaradresses #ankarastylesafrica #ankaraskirt #ankarafashion #insta #instagram #instaphoto #l4l @ Obama Beach,… https://t.co/JFybwP3yv3",JOOOOO ❤️🔥😌🇨🇲
